row,title,isbn,status
71,الاداءات اللغويه في احاديث الاسراء و المعراج,978-9923-30-123-4,ok
72,دراسات نفديه لدعوى الشقاق,978-9923-30-119-7,ok
73,شرح قانون العلامه التجاريه,978-9923-30-111-1,ok
74,الاطار القانوني للاثبات الالكتروني,978-9923-30-120-3,ok
75,التنظيم القانوني للعقود الوارده على الملكيه,978-9923-30-121-0,ok
76,بدائل العقوبات المقيده للحريه,978-9923-30-122-7,ok
77,التأمين ومواجهة المخاطر,978-9923-30-107-4,ok
78,الاتصال والفعالية التنظيمية في عصر الذكاء الاصطناعي,978-9923-30-104-3,ok
79,المحلل النحوي لانماط اللغة العربية في ضوء اللسانيات الحاسوبية,978-9923-30-109-8,ok
80,شعرية النص الغائب في ثلاثية احلام مستغانمي,978-9923-30-101-2,ok
81,الكليات اللغوية العربية في ظل طروحات اللسانيات العامة,978-9923-30-103-6,ok
82,منهجية الدراسات التحليلية والسيميولوجية في علوم الاعلام والاتصال ,978-9923-30-110-4,ok
83,قضايا الاعلام والاتصال في ظل التحولات الراهنة,978-9923-30-102-9,ok
84,العملية التحريرية- مترجم,978-9923-30-074-9,ok
85,الاتصال الجديد - مغازلة نموذج,978-9923-30-,truncated_or_missing_cover
86,واقع البحث العلمي في الوطن العربي,978-9923-30-,truncated_or_missing_cover
87,الساحة السياسية والاحتيال السياسي والشعب المغبون,978-9923-30-106-7,ok
88,الاساليب الحديثة في التدريب الاداري,978-9957-544-89-8,ok
89,الادارة العامة,978-9957-544-73-7,ok
90,الاصلاح الاداري ,978-9957-544-20-1,ok
91,ادارة العمليات النقدية,978-9957-499-44-0,ok
92,اسواق التجزئة,978-9957-499-91-4,ok
93,الهيكل التنظيمي للمنظمة,978-9957-499-37-2,ok
94,القيادة الادارية,978-9957-544-91-1,ok
95,ادارة المكاتب والسكرتاريا,978-9957-579-46-3,ok
96,التسويق المباشر,978-9957-544-64-5,ok
97,تسويق الاعمال الصناعية,978-9957-544-78-3,truncated_or_missing_cover
98,اساسيات ادارة الوقت,978-9957-579-63-0,ok
99,اسس الادارة بالاهداف,978-9957-579-24-1,ok
100,الابداع والابتكار في المؤسسات الادارية,978-9923-30-031-2,truncated_or_missing_cover
101,التخطيط الاستراتيجي الاداري,978-9923-30-032-9,truncated_or_missing_cover
102,الجديد في ادارة المشروعات الصغيرة,978-9923-30-041-1,truncated_or_missing_cover
103,الفكر الاستراتيجي التخطيط والمنهج,978-9923-30-015-2,truncated_or_missing_cover
104,دراسة الجدوى للمشاريع الريادية,978-9923-30-043-5,truncated_or_missing_cover
105,نظريات في الاقتصاد والادارة,978-9957-579-60-9,ok
106,اساسيات البحث العلمي,978-9957-579-92-0,ok
107,الجديد في ادارة الاعمال الدولية,978-9957-579-91-3,ok
108,الجديد في المفاهيم الادارية,978-9957-499-43-3,ok
109,الفاعلية والتميز في التنظيم الاداري,978-9957-579-23-4,ok
110,ترويج وتسويق الخدمات في المؤسسات,978-9957-544-40-9,ok
111,حماية المستهلك ودور الرقابة,978-9957-579-28-9,ok
112,مفهوم الاعلان التجاري,978-9957-579-32-6,ok
113,اسس الادارة بالافكار,978-9957-499-07-5,ok
114,الجديد في ادارة التمويل الدولي,978-9957-579-49-4,ok
115,مبادئ التامين,978-9957-579-51-7,ok
116,اسس ومفاهيم في القيادة الاستراتيجية,978-9957-579-,truncated_or_missing_cover
117,الادارة في قطاع الاعلام,978-9957-579-,truncated_or_missing_cover
118,النظم التسويقية,978-9957-579-,truncated_or_missing_cover
119,الاتصال التسويقي والترويج,978-9957-579-,truncated_or_missing_cover
120,اسس ومبادئ الاعلام الحديث,978-9957-579-94-4,ok
121,السياحة في الوطن العربي,978-9957-499-02-0,ok
122,مبادئ الاقتصاد السياحي,978-9957-499-08-2,ok
123,نظم المعلومات السياحية,978-9957-499-12-6,truncated_or_missing_cover
124,علم النفس  القيادي,978-9957-499-38-9,ok
125,المعتقدات الشعبية في المجتمع الريفي,978-9923-30-084-8,ok
126, علم الاجتماع الاقتصادي,978-9923-30-,truncated_or_missing_cover
127,علم الاجتماع التربوي,978-9923-30-,truncated_or_missing_cover
128,مناهج ذوي الاحتياجات الخاصة (التخطيط-التطوير- التكييف- الدمج),978-9923-30-108-1,ok
129,اساسيات مناهج البحث التربوي,978-9923-30-087-9,truncated_or_missing_cover
130,خصائص اللغة العربية في تعليمها للناطقين بغيرها جامعة اسطنبول نموذجا,978-9923-30-105-0,ok
131,مبادئ الصرف للشيخ الطيب المهاجي,978-9923-30-080-0,ok
132,تباين الرأي النحوي عند المحدثين,978-9923-30-096-1,truncated_or_missing_cover
133,اضواء على اللغة والبنية,978-9923-30-,truncated_or_missing_cover
134,اقسام الكلام العربي من حيث المبنى والمعنى,978-9923-30-,truncated_or_missing_cover
135,الظواهر الصوتية في الخطابات القرآنية سورة يس أنموذجا,978-9923-30,truncated_or_missing_cover
136,الاغتراب في شعر ابي المطرف بن عيرة المخزومي الاندلسي 656هـ,978-9923-30-072-5,ok
137,الرثاء في شعر ابي العلاء المعري دراسة اسلوبية,978-9923-30-076-3,ok
138,الحداثة بين الشرع والميزان,978-9923-30-,truncated_or_missing_cover
139,مشارق الانوار من سيرة النبي المختار صلى الله عليه وسلم,978-9923-30-,truncated_or_missing_cover
140,كلمة افتتاحية لفقه قرارات المحكمة العليا الشرعية ( اربعة اجزاء),978-9923-30-,truncated_or_missing_cover
141,ابحاث ودراسات في العلوم القانونية,978-9923-30-091-6,truncated_or_missing_cover
142,المؤسستان المدنية والعسكرية في العصر البويهي 334-447ه/945-1055م دراسة سياسية,978-9923-30-100-5,ok
143,دار الخلافة في العصر البويهي (الرسوم، صلاحيات الخليفة),978-9923-30-,truncated_or_missing_cover
144,الثغور الاسلامية دراسة تحليلية تأصيلية,978-9923-30-,truncated_or_missing_cover
145,الشرق العربي في عصر التوسع الصليبي الغربي,978-9923-30-079-4,ok
146,معالم التاريخ العربي والاسلامي,978-9923-30-083-1,ok
147,الزايدية الاسس والنموذج والتطبيق,978-9923-30-071-8,truncated_or_missing_cover
148,الادارة الاستراتيجية للمشاريع الريادية,978-9923-30-064-0,ok
149,الاحصاء التطبيقي,978-9923-30-065-7,ok
150,مدخل الى الانثروبولوجيا -علم الاناسة,978-9923-30-069-5,ok
151,دور المراة في نشأة الدولة الاسلامية من بداية الهجرة النبوية الى نهاية دولة المماليك,978-9923-30-037-4,ok
152,الاتجاهات الحديثة في تكنولوجيا التعليم,978-9923-30-054-1,ok
153,التطبيقات التربوية التكنولوجية للاطفال بمدارس stem,978-9923-30-082-4,ok
154,التعليم المتمايز واساليب التدريس الفعالة,978-9923-30-056-5,ok
155,دراسات في التربية والتعلم الالكتروني والامن السيبراني,978-9923-30-066-4,ok
156,التعلم التأملي الادوات والتطبيقات,978-9923-30-048-0,ok
157,التطبيقات التربوية للجيل الثالث للويب,978-9923-30-061-9,ok
158,التعليم والتعلم التأملي الالكتروني الادوات والنظم والتطبيقات,978-9923-30-071-1,truncated_or_missing_cover
159,التدريب الميداني ومهارات التدريس الفعال,978-9923-30-052-7,ok
160,الهوية المهنية للجامعات العربية- مهنة التعليم نموذجا,978-9923-30-067-1,ok
161,تطبيقات الجغرافيا الرقمية في التعليم,978-9923-30-038-1,ok
162,اشكالية المنهج في العلوم الاجتماعية,978-9923-30-024-4,ok
163,المحلل الصوتي في ضوء اللسانيات الحاسوبية سورة طه نموذجا,978-9923-30-077-0,ok
164,محاضرات في علم الصرف,978-9923-30-081-7,ok
165,تداولية الخطاب الشعري في الاعمال الكاملة لمحمود درويش,978-9923-30-023-7,ok
166,التجريب في النماذج من الرواية التونسية,978-9923-30-075-6,ok
167,المباحث البلاغية في كتاب اللامع الصبيح بشرح الجامع الصبيح لشمس الدين البرماوي,978-9923-30-062-6,ok
168,جماليات الخطاب الروائي عند ابراهيم الكوني,978-9923-30-022-0,ok
169,وقود الطحالب- الطحالب من البرك الى المحركات,978-9923-30-057-2,ok
170,الطاقة الكهرومائية,978-9923-30-058-9,ok
171,طاقة الكتلة الحيوية,978-9923-30-060-2,ok
172,خلايا الوقود - اساسيات وتطبيقات وتقنيات,978-9923-30-059-6,ok
173,ابعاد نظرية خداع الاذكياء,978-9923-30-025-1,ok
174,الغيمة الطاقوية -غلاف الجماعة الطاقوية,978-9923-30-029-9,ok
175,الفقه القانوني في القرارات الاستئنافية اراء واجتهادات الجزء 2,978-9923-30-,truncated_or_missing_cover
176,المقريزي ت845ه-1441م واراءه في المكاييل والاوزان في الدولة الاسلامية,978-9923-30-028-2,ok
177,الوسيط في تاريخ الدولة العباسية المتاخر 322ه-656ه,978-9923-30-027-5,ok
178,اليات تطوير السياحة البيئية لتحقيق التنمية المستدامة,978-9923-30-068-8,ok
179,الرقابة القضائية على دستورية التشريعات في العراق ومصر وامريكا دراسة قضائية تأصيلية مقاربة الجزء الاول,978-9923-30-030-5,truncated_or_missing_cover
180,الرقابة القضائية على دستورية التشريعات في العراق ومصر وامريكا دراسة قضائية تأصيلية مقاربة الجزء الثاني,978-9923-30-030-5,truncated_or_missing_cover
181,الادارة المحلية في المملكة الاردنية الهاشمية,978-9923-30-021-3,truncated_or_missing_cover
182,تنظيم الحياة الحزبية في الاردن 2012-2020,978-9923-30-,truncated_or_missing_cover
183,اساسيات اتخاذ القرار في العلوم الادارية,978-9923-30-047-3,ok
184,اساليب البحث العلمي,978-9957-544-08-9,ok
185,اساسيات الاداء وبطاقة الاداء المتوازن,978-9923-30-051-0,ok
186,الاحصاء الرياضي- محاضرات وتمارين-,978-9923-30-007-7,ok
187,تنمية الموارد البشرية,978-9923-30-042-8,truncated_or_missing_cover
188,التخطيط والتنمية الادارية,978-9923-30-036-7,truncated_or_missing_cover
189,التخطيط والتنمية الاقتصادية,978-9923-30-033-6,truncated_or_missing_cover
190,مهارات الاتصال الاداري,978-9923-30-008-4,truncated_or_missing_cover
191,مهارات الرقابة الادارية,978-9923-30-049-7,truncated_or_missing_cover
192,التخطيط والتنمية البشرية,978-9923-30-040-4,truncated_or_missing_cover
193,الاقتصاد السياسي والتنمية,978-9923-30-034-3,truncated_or_missing_cover
194,فن البيع وخدمة العملاء,978-9923-30-050-3,truncated_or_missing_cover
195,العلاقات العامة والاعلام الامني في عصر الوسائط المعلوماتية,978-9923-30-046-6,ok
196,الاعلام والتنمية,978-9923-30-044-2,truncated_or_missing_cover
197,الاعلام الاقتصادي,978-9923-30-014-5,truncated_or_missing_cover
198,مناهج الدراسات الاجتماعية واستراتيجيات تدريسها,978-9923-30-055-8,ok
199,التربية وادب الطفل من التراثية للتقنية الرقمية,978-9923-30-045-9,ok
200,التعليم والتعلم المعاصر,978-9923-30-053-4,truncated_or_missing_cover
201,المهارات الاساسية في الارشاد النفسي,978-9957-622-84-8,ok
202,ادارة رياض الاطفال,978-9957-622-87-9,ok
203,اساسيات التربية الحديثة للاطفال,978-9957-622-86-2,ok
204,الاساسيات الحديثة في الوسائل والبرامج التعليمية,978-9923-30-011-4,ok
205,الانتخابات النبيانية الاردنية دراسة تحليلية,978-9923-30-,truncated_or_missing_cover
206,التحول الديمقراطي والاحزاب السياسية اطار نظري ومفاهيمي,978-9923-30-020-6,truncated_or_missing_cover
207,الفقه القانوني في القرارات الاستئنافية اراء واجتهادات الجزء الاول,978-9923-30-,truncated_or_missing_cover
208,فن الادارة الامنية الالكترونية في المؤسسات,978-9923-30-039-8,ok
209,السياسة الخارجية العراقية,978-9923-30-001-5,ok
210,مشكلات وقضايا اقيمية ودولية ,978-9957-622-90-9,ok
211,رواية امنا الغولة,978-9923-30-005-3,truncated_or_missing_cover
212,رواية بعد الزيف والنزيف,978-9923-30-006-0,truncated_or_missing_cover
213,الهندسة الادارية وادارة الجودة الشاملة ودورهما في تفعيل وتطوير تسيير الموارد البشرية,978-9957-622-52-7,ok
214,منهجية البحث العلمي لطلبة الاقتصاد والعلوم الادارية,978-9957-622-68-8,ok
215,الادارة المالية-تحليل وتقييم المؤسسات,978-9957-622-62-6,ok
216,الاذاعة والتلفزيون,978-9957-622-,truncated_or_missing_cover
217,السياحة التاريخية,978-9957-622-63-3,ok
218,جغرافية التعدين والصناعة,978-9957-622-60-2,ok
219,مهارات الادارة المدرسية والتربوية,978-9957-622-69-5,ok
220,مدخل الى التربية,978-9957-622-70-1,ok
221,التصميم التعليمي، النماذج والبرامج التطبيقية,978-9957-622-61-9,ok
222,بناء المناهج وتطويرها ومستجدات القرن الحادي والعشرين,978-9957-622-57-2,ok
223,الوسائل التعليمية واثرها على التحصيل الدراسي,978-9957-622-53-4,ok
224, دراسات وبحوث في الباراسيكولوجي,978-9957-622-58-9,ok
225,تاريخ الفن الاوروبي,978-9957-622-56-5,ok
226,القراءة السريعة,978-9957-622-54-1,ok
227,الاوزان والصيغ الصرفية في اللسانيات العربية,978-9957-622-55-8,ok
228,المنظومات اللغوية الجزائرية:احصاء وتصنيف,978-9957-622-47-3,ok
229,علامات الاعراب للعلامة الطيب المهاجي الجزائري,978-9957-622-48-0,ok
230,الحوسبة السحابية ميزة التنافس الجديدة,978-9957-622-67-1,ok
231,تاريخ الدولة البيزنطية,978-9957-622-59-6,ok
232,حوار مع الاخر قضايا في العلاقات الاقليمية والدولية,978-9957-622-64-0,ok
233,مبادئ التسويق الاساسي,978-9957-622-43-5,ok
234,التكوين الاداري والتدريب في ادارة الموارد البشرية,978-9957-622-44-2,ok
235,اشكالية وابعاد ميزان المدفوعات الجزائري,978-9957-622-36-7,ok
236,حتى تصبح قائداً (القيادة فن مكتسب),978-9957-622-38-1,ok
237,تقوية القدرات الذهنية وتضاعف الذكاء,978-9957-622-50-3,ok
238,التعليم العالي في الجزائر بين قيود التمويل ورهانات التطوير,978-9957-622-37-4,ok
239,تاريخ الفنون الجميلة,978-9957-622-49-7,ok
240,مقاربة بنيوية دلالية في المنجز السردي لابراهيم الكوني,978-9957-622-46-6,ok
241,قراءات بلاغية في نصوص ادبية,978-9957-622-21-3,ok
242,مباحث في فقه اللغة وخصائص العربية,978-9957-622-45-9,ok
243,احكام الحروف العاملة,978-9957-622-40-4,ok
244,المدخل الى العلوم العسكرية,978-9957-622-41-1,ok
245,الجريمة الدولية في القانون والقضاء الدولي الجنائي,978-9957-622-42-8,ok
246,الدور التاريخي للاسلام,978-9957-622-51-0,ok
247,التطرف الفكري,978-9957-622-33-6,ok
248,صرخات قلوب واشياء اخرى,978-9957-622-35-0,truncated_or_missing_cover
249,قهوة بنكهة امراة,978-9957-622-34-3,truncated_or_missing_cover
250,سياسات مكافحة الفقر- دراسة تحليلية الجزائر- الصين نموذجا,978-9957-622-14-5,ok
251,اشكالات الفقر- دراسة قياسية -الجزائر انموذجا,978-9957-622-15-2,ok
252,الاتصال التنظيمي ودوره في اندماج الموظفين الجدد,978-9957-622-19-0,ok
253,حرية الاعلام في المواثيق والقوانين الوطنية والدولية في ظل المتغيرات الدولية المعاصرة,978-9957-622-13-8,ok
254,الصحافة الالكترونية- طريق المستقبل,978-9957-622-26-8,ok
255,البناء السوسيوديموغرافي للمجتمع قراءات في علم الاجتماع السكاني,978-9957-622-18-3,ok
256,الجودة الشاملة في التعليم العالي,978-9957-622-09-1,ok
257,اللسانيات التطبيقية والملكات اللغوية,978-9957-622-12-1,ok
258,مكنونات هقار وتديكلت الثقافية,978-9957-622-20-6,ok
259,اساسيات الفيزياء,978-9957-622-32-9,ok
260,كل شيء عن انترنت الاشياء وتطبيقات المدن الذكية,978-9957-622-11-4,ok
261,مشكلات التحديث والتنمية السياسية في الدول الاسيوية-ماليزيا نموذجا,978-9957-622-22-0,ok
262,النظام الاقليمي العربي بين التحديات الداخلية والضغوط الخارجية,978-9957-622-23-7,ok
263,الدبلوماسية الوقائية على فاعلية الامم المتحدة في منع اندلاع الازمات الدولية- الازمة اللبنانية نموذجا,978-9957-622-24-4,ok
264,استخدام شبكات التواصل الاجتماعي وعلاقته بالاغتراب السياسي,978-9957-622-08-4,ok
265,التدابير الشرعية لسياسة عمر بن الخطاب- رضي الله عنه- في ادارة الدولة,978-9957-622-10-7,ok
266,السياسة الخارجية للاتحاد الاوروبي وقضايا الامن والتنمية والتعاون والبيئة,978-9957-622-07-7,ok
267,السياسة الخارجية الامريكية وتحديات الطاقة,978-9957-622-16-9,ok
268,تاريخ الفكر السياسي الحديث,978-9957-622-39-8,ok
269,علم السياسة مقدمات توضيحية,978-9957-622-17-6,ok
270,العواشق ,978-9957-622-23-7,ok
271,بنات على خط النار,978-9957-622-27-5,truncated_or_missing_cover
272,الكاريزما الاناقة واللباقة,978-9957-622-31-2,truncated_or_missing_cover
273,الظواهر الخارقة,978-9957-622-29-9,truncated_or_missing_cover
274,اساطير,978-9957-622-28-2,truncated_or_missing_cover
275,العناية بالبشرة وفن المكياج,978-9957-622-30-5,truncated_or_missing_cover
276,صقل وتطوير المهارات الصحفية,978-9957-579-89-0,ok
277,الوصاية الادارية على المجلس الشعبية البلدية والولائية,978-9957-622-060,truncated_or_missing_cover
278,طرق اعداد البرامج التدريبية وتأهيل المدربين,978-9957-622-022,truncated_or_missing_cover
279,معايير الجودة الشاملة,978-9957-622-03-9,ok
280,التميز الاداري في منظمات الاعمال,978-9957-622-00-8,ok
281,التمييز بين الموظف العام والموظف الدولي,978-9957-579-86-9,ok
282,جرائم الصفقات العمومية وآليات محافحتها,978-9957-579-79-1,ok
283,جودة الخدمة التأمينية كمدخل للريادة والتفوق,978-9957-579-77-7,ok
284,التحولات الكبرى في انظمة مراقبة التسيير والموازنات التقديرية,978-9957-579-85-2,ok
285,التسويق الاستراتيجي -مداخل حديثة,978-9957-579-84-5,ok
286,ادارة المستشفيات والسجلات الطبية,978-9957-579-74-6,ok
287,مدخل الى الاتصال الاجتماعي للؤسسة,978-9957-579-73-9,ok
288,نقد السينما الامريكية,978-9957-579-75-3,ok
289,التخطيط السياحي,978-9957-579-98-2,ok
290,تنمية الموارد السياحية,978-9957-579-96-8,ok
291,الجغرافيا السياحية,978-9957-579-95-1,ok
292,جغرافية المناخ,978-9957-579-93-7,ok
293,التعميم الخرائطي الآلي في المرئيات الفضائية,978-9957-579-87-6,ok
294,علم اجتماع العائلة,978-9957-579-97-5,ok
295,المجتمع المدني- المفهوم والابعاد,978-9957-579-90-6,ok
296,المجتمع المدني المغاربي,978-9957-579-81-4,ok
297,رياض الاطفال واثرها على التحصيل الدراسي,978-9957-622-04-6,ok
298,التفكير العلمي وتطبيقاته التربوية,978-9957-579-99-9,ok
299,رياض الاطفال,978-9957-579-71-5,ok
300,اشكالات قصيدة النثر- قراءة نقديو مقارنة,978-9957-579-88-3,ok
301,اشراقات قرآنية في انفتاح الاعتراض على محاور البلاغة الثلاث,978-9957-579-78-4,ok
302,المدون والمنطوق في النتجات الثقافية ,978-9957-579-82-1,ok
303,الاصدار السادس بروتوكول الانترنت ipv6,978-9957-579-83-8,ok
304,مفاهيم وتطبيقات الاساليب الامنية في التحقق الالكتروني,978-9957-579-67-0,truncated_or_missing_cover
305,الحريات السياسية في الجزائر,978-9957-622-05-3,ok
306,الاهمية الجيوستراتيجية لمنطقة الشرق الاوسط,978-9957-579-80-7,ok
307,اخلاقيات الاعمال التجارية- مترجم,978-9957-579-61-6,ok
308,رقابة السلطة المركزية على البلديات,978-9957-579-68-5,ok
309,نظام المعلومات الفعال في ادارة الازمات,978-9957-579-69-2,ok
310,اساليب التمويل بالمشاركة ,978-9957-579-70-8,ok
311,اسس واستراتيجيات ادارة المنتج,978-9957-579-59-3,ok
312,نظام الحوافز الادارية ودورها في صقل وتمكين قدرات الافراد,978-9957-579-50-0,ok
313,الاتصالات الادارية,978-9957-579-48-7,ok
314,المشكلات الادارية,978-9957-579-54-8,ok
315,التنمية الاقتصادية,978-9957-579-53-1,ok
316,ادارة الشراء والتخزين,978-9957-579-41-8,ok
317,اقتصاد الفقر وتوزيع الدخل,978-9957-579-44-9,ok
318,التوقع بالمبيعات باستخدام نماذج احصائية,978-9957-579-27-2,ok
319,التحرير والاخراج الصحفي,978-9957-579-64-7,ok
320,الاتصال الجماهيري والخدمة الاجتماعية,978-9957-579-43-2,ok
321,وسائل الاعلام والطفولة,978-9957-579-38-8,ok
322,الامن الصناعي,978-9957-579-58-6,ok
323,جغرافية السكان,978-9957-579-62-3,ok
324,التنمية المستدامة,978-9957-579-66-1,ok
325,الرحلات والكشوف الجغرافية,978-9957-579-65-4,ok
326,اساسيات في علم المناخ الزراعي,978-9957-579-55-5,ok
327,الاسرة والمجتمع,978-9957-579-40-1,ok
328,لغة الصمت- اسرار لغة الجسد ملون,978-9957-579-47-0,ok
329,الذاكرة البشرية اسرار وخفايا ملون,978-9957-579-36-4,ok
330, سيكولوجية الدماغ البشري,978-9957-579-37-1,ok
331,نساء عظيمات يصنعن التاريخ,978-9957-579-52-4,ok
332,تصميم التعليم: مفهومه، نظرياته، ونماذجه,978-9957-579-42-5,ok
333,مفهوم الذكاء وانواعه,978-9957-579-39-5,ok
334,الاختصاص القضائي وتوزيع المحاكم,978-9957-579-67-8,ok
335,تسلسل النظام القانوني الاسلامي,978-9957-579-45-6,ok
336,تاريخ حضارات العالم القديمة,978-9957-579-56-2,ok
337,الحرب الوقائية والسياسة الامريكية في الشرق الاوسط,978-9957-579-57-9,ok
338,الاستراتيجية الامريكية تجاه العراق ,978-9957-579-35-7,ok
339,إدارة اختيار الموظفين ,978-9957-499-15-0,ok
340,التدريب المهني,978-9957-579-11-1,ok
341,مخرجات التعليم الفني و التدريب المهني,978-9957-579-12-8,ok
342,الإرشاد و التوجيه المهني,978-9957-579-02-9,ok
343,الصحة و السلامة المهنية,978-9957-579-01-2,ok
344,ادارة الحفلات والمؤتمرات في المنشآت السياحية,978-9957-579-29-6,ok
345,مفاهيم علم المناخ الشمولي ونظرياته,978-9957-579-30-2,ok
346,علم الجغرافيا و البيئة,978-9957-579-10-4,ok
347,كيف تنجح وتتفوق,978-9957-579-31-9,ok
348,ادارة برامج المدرسة الالكترونية,978-9957-579-,truncated_or_missing_cover
349,مهارات الحوار,978-9957-579-22-7,ok
350,مدخل الى علم الاجتماع,978-9957-499-20-4,ok
351,الثقافة الموسيقية,978-9957-544-95-9,ok
352,التربية الإسلامية,978-9957-579-05-0,ok
353,الإذاعة المدرسية,978-9957-544-96-6,ok
354,الرياضة المدرسية,978-9957-579-06-7,truncated_or_missing_cover
355,تطوير الذات,978-9957-579-03-6,ok
356,شعر المدح في عصر المرابطين,978-9957-579-19-7,ok
357,الحداثة الشعرية العربية بين الممارسة والتنظير,978-9957-579-18-0,ok
